Sentence,Sentiment,Translated
আমি এনে গানবোৰ ককাৰ মোখতহে হোনো আজি নিজে চাবলৈও পালো,1,We also got to watch such songs on our own today.
এইকাৰণে এলিয়েনসকলে কেতিয়াও পৃথিৱী ভ্ৰমণ নকৰে,0,This is why aliens never travel the world
হৃদয় চুই যোৱা কণ্ঠ,1,Heart-touching voice
মোক্কেল ৰ কমি নাই দুনিয়াত,0,Mokkel is not down in the world
ফকটীয়া চাল্লা,0,fatcha challa
"মাথো এটি শব্দকেই কম ""অতুলনীয়""",1,"Only this word is less ""unique"""
চি চি তোৰ মুখত থু পেলাব অসমৰ মানুহে,0,People of Assam will spit on your face.
এইটো কেৱল গান নহয় এইটো মোৰ জীৱন,1,It's not just songs it's my life
"আমি শ্ৰোতা হে,ৰচক আপুনি,সেয়ে দায়িত্বও বেছি।অনুভৱ কৰক।",0,"We are the audience, you are the composer, so the responsibility is also high. Feel it."
এই গানটো শুনি মোৰ শৰীৰে কাম কৰা নাই,0,My body is not working after listening to this song
শতিকাৰ অন্যতম শ্ৰেষ্ঠ গীত।,1,One of the best songs of the century.
অসমত আমি এই ধৰণৰ আৱৰ্জনা গীত নিবিচাৰো,0,In Assam we don't want this kind of garbage song
চিৰসেউজীয়া নিপন গোস্বামী।,1,Evergreen Nipan Goswami.
ইমান ধনীয়া কন্ঠ নিগৰাইছে মন জয় হৈ যায় ৰে,1,So many rich voices are missing the mind wins.
চিৰযুগমীয়া হৈ ৰব গানটি,1,The song Will Be Everlasting
মই এই গানটোৰ সৈতে আকৰ্ষিত হৈছোঁ,1,I am fascinated with this song
ঈশ্বৰ পৰ্যায়ৰ গান,1,God-level songs
সুকন্ঠৰে সভ্য গীত গাব লাগে !অসভ্য শব্দৰে কিয় নিজৰ সুকন্ঠক বলি দিছ,0,You should sing a civilised song with a voice! Why do you sacrifice your voice with rude words?
মোৰ চকুত কৰ্কট ৰোগ হৈছে,0,I have cancer in my eyes
গীতৰ সুৰ বা আকাৰ দিয়া সকলো যেন এক জলপ্ৰপাতৰ আঘাটত মিঠা মিঠা অনুভৱ লৈ আমালৈ এই গীতটি উলিয়াই দিছে।,1,The lyrics or the shape of all the songs seem to have brought us out with a sweet feeling in the light of a waterfall.
আপুনি এটা ভয়ংকৰ কাম কৰিছে,0,You're doing a terrible thing
গানটো শুনি যিমান ভাল লাগিছে কমেণ্টবোৰ পঢ়ি বেছি ভাল লাগিছে।,1,It's more nice to read the comments as much as it feels to hear the song.
মনটো কিবা যেন এটা নতুন আশাৰে উপচি পৰিল,1,The mind seemed to be filled with a new hope.
আকৰ্ষণীয় কণ্ঠস্বৰ,1,Interesting voice
ককাই আপোনাৰ প্ৰতিটো গানতে নতুনত্ব আছে ।,1,Kaka has innovation in every song you have.
অপূৰ্ব অসমীয়া গীত,1,Wonderful Assamese Song
ভাল লগা নাই ইমান লিৰিকচ,0,Don't like so much lirich
মই এতিয়াও শুনো,1,I still listen
আপুনি পৰৱৰ্তী প্ৰজন্মৰ বাবে অনুপ্ৰেৰণা।,1,You are an inspiration for the next generation.
মই প্ৰতিআবেলি এইটো শুনো,1,I listen to it every afternoon
আচলতে মই এটা শব্দও বুজি নাপাওঁ কিন্তু কণ্ঠ আৰু সুৰ ইমান আশ্চৰ্যজনক,1,In fact I don't understand a word but the voice and tone are so amazing
টিক্টোকাৰতকৈও বেয়া,0,Worse than tiktokar
ভাল লাগিছে চাই,1,It's nice to see
আপুনি এতিয়ালৈকে কিয় জীয়াই আছে?,0,Why are you alive so far?
সৰ্বকালৰ প্ৰিয়,1,All Time Favorites
ল'ৰালি কাললৈ ঘুৰি গ'লো উচুপি উঠিল অন্তৰখন,1,The boy turned around yesterday and the heart swelled.
অতি অপূৱ´ সুন্দৰ বিহুগীত,1,Very ́ beautiful song
যেতিয়াই মই এইটো শুনিথাকো তেতিয়াই মই আচৰিত হৈ পৰোঁ,1,I am surprised whenever I hear it
পাগল সন্থাৰ সভাপতিৰ ভিদিঅ চাই থকা সকলৰ বাবে লাল চাহ বনাই আছো খাই যাব,0,You will be eating red tea for those watching the video of the president of the mad association.
ই মাৰিলেও একো দুখ নাই,0,There's nothing sad about it even if it kills
মই বহুত ভাল পাওঁ এই গীতটো,1,I love this song very much
এইবিলাক ভূল নকৰিবা কিবা গান এটা কৰাৰ আগত ভালকৈ শুনি লবা যে গানটোত কি গাইছে,0,Don't forget these or listen carefully before you do a song about what's singing in the song.
কন্ঠ জুই বুলিহে কলো আৰু দেই,1,The voice said fire and dei
আজিৰ বিহু গীতে নোৱাৰে কিন্তু ফেৰ মাৰিব,0,Today's Bihu song can't but turn
অসম জিন্দাবাদ,1,Assam Zindabad
অতি আকৰ্ষণীয় গান,1,Very interesting song
তুমি বেশ্যা,0,You
মনটো ভাল লাগি গ'ল,1,The mind felt good
মই আজিৰ প্ৰজন্ম যদিও এইবোৰৰ গোন্ধ ভাল পাওঁ,1,I am today's generation though I like the smell of them
কেলা এই পাগল টো আকৌ,0,Kela this crazy one again
এইবোৰৰ কাৰণে আজিৰ অসমীয়া মানুহে অসমীয়া গান শুনিব বাদ দিছে,0,"Because of these, today's Assamese people have stopped listening to Assamese songs."
কতি কাটি কুকুৰক খুৱাম,0,Cut the cut and feed the dog
আমনি নলগা গীত,1,unbored song
বাক্সাৰ পৰা বহুত মৰম কুসুম দা লৈ।,1,A lot of love from Baksa with Kusum Da.
এতিয়ালৈকে শুনা আটাইতকৈ বেয়া গান,0,The worst song ever heard
বহুত ভাল লাগে গীতটি শুনি।,1,It's great to hear the song.
এনে ধৰণৰ অসমী প্ৰতিভা মোৰ বন্ধুবৰ্গৰ সৈতে ভাগ বতৰা কৰি মই গৌৰৱান্বিত,1,I am proud to share such assamese talent with my friends.
মাৰৰ মুৰটো গাইছ,0,Sing sings the head of the head
এটি মিঠা‌ গীত,1,It's a sweet song
মই উল্লাসৰ অৱস্থাত আছোঁ,1,I'm in a state of exhila
মজা মজা মজা,1,Fun Fun Fun
মজা হৈছে,1,It's fun
কালজয়ী চিৰসেউজ গীত,1,Classic Evergreen Songs
কেনেকৈ ইমান অৰ্থপূৰ্ণ শব্দ বোৰ বিচাৰি পায়,1,How to find such meaningful words
আপুনি ইমান যাদুকৰীভাৱে কেনেকৈ গাইব পাৰে?,1,How can you sing so magically?
আপোনাৰ বাবে অধিক শক্তি।,1,More energy for you.
মই একমাত্ৰ প্ৰাণী যি গানটো শুনি বেয়া পাইছোঁ,0,I am the only animal that hates listening to the song
নিজা প্রতিভা নাই বুলিয়েই ক'ব পাৰিচোন,0,You can only say that you don't have your own talent.
কিমানবাৰ শুনিলো যদিও হেঁপাহ পেলোৱা নাই,1,How many times have I heard but not craving
ককাইদেউ আমাৰ,1,Kakaideo Our
"ময়ৰ সোঁতত সকলো হেৰাই থাকিল ।


",0,"Everything was lost in my stream.

"
আজি কালি কিছুমান ফকতিয়া গায়কে বিহুক শুনিব নোৱাৰা কৰি পেলাইছে,0,Nowadays some faktia singers have made Bihu unheard of.
কিমান পাগল,0,How crazy
মজা লাগিলে,1,It's fun
"মই বহুত ভাল পাও এই বিলাক গান শুনি


",1,"I love listening to these songs.

"
নিৰ্লজ্জ্য কৰবাৰ,0,Shameless
ইমান যে সুন্দৰ গীত,1,So many beautiful songs
আমাৰ সম্পদ,1,Our Wealth
দিনক দিনে ফটুৱা হৈ গৈ আছে,0,It's getting cracked day by day
কথা এটা কোৱাৰ আগতে এবাৰ হ'লেও ভবা উচিত,0,It is worth thinking once before saying a word
হে ভগবান আৰু কি কি দেখিম,0,"Oh God, what else can I see?"
দিন বাগৰাৰ লগে লগে সকলো বোৰ হেৰাই যাব ধৰে কিন্তু এই সুমধুৰ সুৰ বোৰে বৰ কৈ ৰেঙীয়াই কিবা ভাবি চকুলো চকু পানীৰে উপচি পৰে।,1,Everything gets lost as the day progresses but these melodious tunes make the eyes overflow with tears as they think of something very colorful.
অসমৰ এটা মহান গীত,1,One of the great songs of Assam
অসমীয়া চিনেমালৈ যাতে আকৌ আগৰ দিন ঘূৰি আহে,1,To Assamese cinema so that the previous day comes back again
জুবিন দা ৰ দৰে কোনো নাই,1,There is no one like Zubin Da
মই এতিয়াও এই ৰত্নটো শুনি আছোঁ।,1,I am still listening to this gemstone.
কাম নাই নেকি,0,Is there no work
খাটি অসমীয়া হিচাপে গৌৰৱ অনুভৱ কৰা,1,Feeling proud to be a khaati Assamese
কাম বন নাই,0,No work forest
" বিহু আমাৰ গৌৰৱ।বিহু অসমীয়াৰ প্ৰাণ।


",1," Bihu is our pride. Bihu is the life blood of Assamese.

"
অলপো ভাল লগা নাই,0,Don't like it at all
আনকি মোৰ কুকুৰটোৱেও এই ভিডিঅ'টো চোৱাৰ পিছত ভয় খাইছিল।,0,Even my dog was scared after watching this video.
সুন্দৰ,1,Nice one
"এয়া কল্পনাৰ বাহিৰত, নিৰ্লজ্জ",0,"It's beyond imagination, shameless"
মা কছম মজা ।,1,Mother is a little fun.
সঁচা কৈ হৃদয়স্পৰ্শী গীত,1,Truly heartwarming song
এই গানটো শুনি মোৰ কাণৰ পৰা তেজ ওলাইছে,0,I have blood coming out of my ears after listening to this song.
কি বাল কৰী থকা এইবোৰ,0,These are the ones with what are the bal sarees
বহুত ভাল লাগিছে গানটো,1,It's great to have the song
"অতিতলৈ মনত পৰে এই গানবোৰ শুনিলে , ইমান ভাল লগা গান",1,"I remember listening to these songs, such a nice song."
ইয়াতকৈ বেয়া ভিডিও জীৱনত দেখা নাই,0,No worse video than this in life
কি অপূৰ্ব সৃষ্টি,1,What a wonderful creation
ধুই,0,wash
তেওঁৰ গানবোৰ ইমান মিঠা।,1,His songs are so sweet.
মই এই গানটো বাৰে বাৰে শুনি আছো।,1,I have been listening to this song over and over again.
বোইনাকচুদা,0,boinacchuda
সীমান্ত এটা মস্ত চুৰ কেলা,0,The border is a big knife.
কি কৈ আছে আপুনি একো বুজা নাই,0,You don't understand what you're saying
বজৰোৱা সুৰ,0,playing tune
এটা মগজু প্ৰাপ্ত কৰক,0,Get a brain
নিৰক্ষৰ,0,illiterate
ফালি দিচা দাদা,1,Fali Disa Dada
ব্র টামাম ট্রল দি আছে তোমাক,0,You're giving you a bro tamam tremle
কিমানবাৰ শুনিলো হিচাপ নাই,1,No account of how many times I heard
সঁচাকৈয়ে এডাল ধুনীয়া শব্দৰ মালা,1,A really beautiful garland
ভাল লাগিল শুনি।। অগলৈ আৰু  শুনিবলৈ পাম বুলি আশা থাকিল,1,It's nice to hear. I hope i can hear more.
ভূলকৈ গানটো গাইছা শুধকৈ গোৱা।,0,Sing the song correctly by mistake.
ইমান বেয়া হব পাৰে জে ভাবিব টান লাগিছে,0,It can be so bad that it's hard to think
গীতটোত এটি আচৰিত শক্তি আছে,1,The song has a wonderful energy
অসমীয়া কৃষ্টিৰ পথাৰত পুৰণি গীত-মাতসমূহৰ এক সুকীয়া মাদকতা  আছে ।,1,There is a distinct intoxicating of old songs and songs in the field of Assamese culture.
বৰ ভাল লগা গান,0,Very nice song
খুব সুন্দৰ শব্দৰ সমাহাৰ,1,Very nice combination of words
"মই এই গান টু সদায় শুনো ,,,বহুত ভাল লাগে",1,"I always listen to this song ,,, it feels great"
মই ইয়াক এতিয়া মোৰ এলাৰ্ম হিচাপে ব্যৱহাৰ কৰোঁ আৰু মই মোৰ এলাৰ্মৰ এঘণ্টা আগতে সাৰ পাওঁ,0,I use it as my alarm now and I wake up an hour before my alarm
অসমীয়া গীতৰ মাধ্যমেৰে প্ৰচাৰৰ জৰিয়তে আমাৰ অসমীয়াৰ অস্তিত্বক বজাই ৰাখি আছে,1,Our Assamese existence is being maintained through propagation through Assamese songs.
এক বুজাব নোৱাৰা সাঁথৰ।,1,An incomprehensible puzzle.
আপোনাৰ সুন্দৰ সৃষ্টিৰ উপমা দিবলৈ যেন মোৰ হাতত বিশেষণীয় বিশেষণ নাই,1,I don't have a unique adjective to give you the analogy of beautiful creation.
গান চুৰ শিখৰ পান মচলা,0,Song Chur Shikhar Pan Masala
কি সৃষ্টি,1,What creation
এইবোৰ আৰু কিবা নতুন কথা নে,0,Are these anything new or not
গাহৰিপোৱালী,0,pig
চিৰসেউজ গীত,1,Evergreen Song
আপোনাৰ সুৰ বহু  ধুনীয়া,1,Your tone is very beautiful
এই গানটো আকৌ শুনিলে মই মৰিম,0,I'll die if I hear this song again
বালৰ গান আইগেলা,0,Bal's song Aigela
"ন শব্দৰ বাংময়তাৰ মাজত জোনাকৰ কিৰিলী,আখৰৰ নিঁভাজ মানচিত্ৰত ভাৱনাৰ চূড়ান্ত দলিল;হেৰাই গ'লো সুৰৰ যাযাবৰী নিজৰাত,হৈ পৰিলোঁ মুঁক স্মৃতিৰ আপাহত",1,"In the midst of the nine-word bangamya, Jonak's kirily, the final document of thought in the letter's divisible map; lost in the nomadic nizari nijaof of the tune, i became a part of the silent memory."
মন গলেই শুনো,1,Listen to the mind melt
এই গানটো নিষিদ্ধ কৰিবই লাগিব,0,This song must be banned
কৰোনাভাইৰাছে এইটো চোৱাৰ পিছত পৃথিৱী এৰি যায়,0,Coronavirus leaves the world after seeing it
অশ্লীল গীতত,0,in obscene song
একেবাৰে হৃদয় চুই গৈছে,1,The heart has touched at all
বৰ আমোদ পালো । কথাছবিখনৰ নাম জানিলে ভাল পালোহেতেন ।,1,It was a lot of fun. It would have been nice to know the name of the film.
শব্দৰ কি এক অপূৰ্ব সমাহাৰ,1,What a wonderful combination of words
গাহৰি,0,pig
এই গানটোৱে মোৰ আত্মাক নৃত্য কৰি তোলে,1,This song makes my soul dance
এইটো সংস্কৃতিৰ বিৰোধী,0,It's against culture
মুঠতে সীমান্ত নে কি এইটো এটা মহা চোৰ কি ফাল্টু মাত। এইটোৰ মাততকে মোৰ মাতটোৱেই সুৱলা,0,Is it a big thief or a big voice on the border at all. My voice is the voice of this one.
এইবোৰৰ কাৰণে আজিৰ অসমীয়া মানুহে অসমীয়া গান শুনিব বাদ দিছে,0,"Because of these, today's Assamese people have stopped listening to Assamese songs."
মই ভাষাটো বুজি নাপাওঁ। কিন্তু মই এই গানটো ভাল পাওঁ,1,I don't understand the language. But I love this song
সুন্দৰ গীত । চিৰসেউজ,1,Beautiful song. evergreen
বিহুনামবোৰ সময়ৰ সোতত পৰি  বিহুসুৰীয়া গীতলৈ পৰিৱৰ্তিত হল,0,Bihunams turned into bihusuriya songs in time.
গচকি পেলালে পাৱত-গজি নিজকে শিল্পী বুলি পৰিচয় দিব খোজা এচামে।,0,Assam wants to introduce himself as an artist.
হৃদয়ত বেলেগ এটা অনুভৱে খুন্দিয়ালে,1,A different feeling struck in the heart
কেনেকে এই বিশাল শব্দৰ গৰাকী তুমি,1,How do you own this huge word?
এইবোৰে আমাৰ উঠি অহা প্ৰজন্মক বিপথে পৰিচালিত কৰিছে,0,These have misled our growing generation.
কোনোবাই অনুগ্ৰহ কৰি তেওঁক আন এখন দেশলৈ বিতাড়িত কৰক,0,Someone please deport him to another country
বহুত ভাল লাগিল। চিৰযুগমীয়া সেই সোণোৱালী অতীতবোৰ,1,It felt great. Those golden pasts of the eternal
বাৰে বাৰে শুনিলেও হেঁপাহ নপলাই ইমান সুন্দৰ গান বনোৱাৰ বাবে আপোনালোকক ধন্যবাদ জনাইছোঁ ।,1,I thank you for making such a beautiful song without craving despite listening again and again.
কেলা ননচেন,0,Kela Nonchen
ভূল নকৰিবা কিবা গান এটা কৰাৰ আগত ভালকৈ শুনি লবা,0,Don't make mistakes Listen well before you do a song
শংকু দাৰ প্ৰতিটো গানতেই এটি বিশেষ আৱেগ আৱৰি ৰাখে,1,Shanku Da's every song covers a special emotion
এই গীততোৰ সৈতে বহুত স্মৃতি জড়িত হৈ আছে,1,There are many memories associated with this song as well.
পচা ভেকুলী,0,rotten frog
এই আটাইতকৈ বেয়া গীতটো কোনে লিখিছিল,0,Who wrote this worst song
গু বনাইছ,0,Goo Banais
বহুত ভাল লাগিছে,1,It feels great
জহৰা,0,jewellery
প্রিয় গীত মোৰ এইটো,1,Dear song mine this is
"কিবা এটা ভাল অসমীয়া গান বা ভিডিও চাম বুলি ক্লিক কৰোঁ,শেষত এইবোৰ নকল চাব লগা হয়",0,"Click to watch some good Assamese songs or videos, they have to be watched in the end"
তেখেতৰ গানৰ কাৰনে আশাৰে বাট চাই ৰৈ থকাটো আবেগত পৰিণত হয় পৰিছে,1,His singing has made it emotional to wait hopefully.
বহু দিনৰ পাছত এটা ভাল গীতৰ প্ৰেমত পৰিছো,1,After a long time I fell in love with a good song
"অমি জুবিন দাৰ গান আগটে অ শুনিছিল, আতিয়া অ শুনি আছোঁ, অাৰু আগলৈও শুনি জাম",1,"Ami Zubin Dar Gun Agt e Suna, Atiya O Sunaho, And listen to jam even further."
কাহানিও শেষ নোহোৱা এটা গান,1,A song that doesn't end with kahaani
কুকুৰৰ পোৱালী অলপো লাজ নাপাই ইহতে যি মন যাই গাই থাকে,0,The puppy sings whatever it feels like without being ashamed at all
